72, 402, 968, 3.8 km
72, 403, 1428, 6.1 km
72, 405, 898, 4.0 km
72, 406, 2150, 10.5 km
72, 407, 2137, 10.6 km
72, 408, 1970, 10.4 km
72, 409, 2730, 13.3 km
72, 410, 1624, 6.9 km
72, 411, 1617, 6.8 km
72, 412, 1792, 7.8 km
72, 414, 2196, 10.8 km
72, 415, 1613, 8.7 km
72, 416, 2421, 11.8 km
72, 417, 1484, 7.0 km
72, 418, 2215, 11.0 km
72, 419, 2375, 11.5 km
72, 420, 2498, 12.0 km
72, 421, 2441, 12.0 km
72, 422, 305, 0.9 km
72, 423, 258, 0.8 km
72, 426, 1268, 6.3 km
72, 427, 1539, 8.3 km
72, 428, 1565, 6.4 km
72, 430, 2192, 10.8 km
72, 432, 1496, 6.1 km
72, 433, 1477, 5.8 km
72, 434, 761, 3.3 km
72, 435, 1049, 4.2 km
72, 436, 3037, 14.0 km
72, 437, 3086, 14.6 km
72, 438, 1417, 5.8 km
72, 439, 1458, 6.2 km
72, 440, 905, 3.3 km
72, 441, 758, 2.6 km
72, 442, 772, 3.1 km
72, 443, 2941, 14.8 km
72, 444, 874, 3.5 km
72, 445, 1463, 6.0 km
72, 446, 800, 3.4 km
72, 447, 297, 0.9 km
72, 448, 365, 1.5 km
72, 449, 216, 0.6 km
72, 450, 424, 1.4 km
72, 453, 770, 3.2 km
72, 454, 949, 3.3 km
72, 455, 999, 3.4 km
72, 456, 682, 2.4 km
72, 457, 418, 1.4 km
72, 458, 426, 2.0 km
72, 459, 707, 3.0 km
72, 460, 2819, 14.6 km
72, 461, 1182, 4.7 km
72, 462, 802, 3.4 km
72, 463, 786, 3.4 km
72, 465, 526, 2.0 km
72, 466, 899, 3.7 km
72, 467, 2421, 11.7 km
72, 468, 378, 1.3 km
72, 469, 370, 1.2 km
72, 470, 798, 3.4 km
72, 471, 2803, 14.6 km
72, 472, 943, 3.5 km
72, 473, 1634, 6.5 km
72, 474, 903, 3.6 km
72, 475, 1122, 4.5 km
72, 476, 1130, 4.2 km
72, 477, 559, 1.9 km
72, 478, 198, 0.9 km
72, 479, 295, 1.1 km
72, 480, 154, 0.4 km
72, 481, 2840, 14.6 km
72, 482, 972, 4.1 km
72, 483, 1278, 5.1 km
72, 484, 606, 2.3 km
72, 485, 784, 2.9 km
72, 486, 802, 3.1 km
72, 487, 1299, 5.3 km
72, 488, 478, 1.6 km
72, 490, 708, 2.8 km
72, 491, 1024, 4.0 km
72, 492, 710, 2.7 km
72, 493, 596, 2.1 km
72, 494, 699, 2.9 km
72, 495, 303, 1.2 km
72, 496, 1117, 4.6 km
72, 497, 1037, 4.2 km
72, 498, 755, 2.8 km
72, 499, 464, 1.6 km
72, 500, 327, 1.1 km
72, 501, 1155, 4.5 km
72, 502, 2214, 11.7 km
72, 503, 1051, 4.1 km
72, 504, 1376, 5.4 km
72, 505, 783, 2.8 km
72, 507, 1272, 4.7 km
72, 508, 137, 0.5 km
72, 509, 709, 3.0 km
72, 510, 411, 1.4 km
72, 511, 1450, 6.1 km
72, 513, 199, 0.7 km
72, 514, 336, 1.3 km
72, 515, 349, 1.5 km
72, 516, 944, 3.3 km
72, 517, 741, 2.9 km
72, 518, 1020, 3.6 km
72, 519, 746, 3.0 km
72, 520, 484, 1.7 km
72, 521, 694, 2.8 km
72, 522, 641, 2.2 km
72, 523, 536, 2.0 km
72, 524, 701, 2.2 km
72, 525, 336, 1.5 km
72, 526, 939, 3.2 km
72, 527, 1123, 4.1 km
72, 528, 1138, 4.2 km
72, 529, 390, 1.5 km
72, 530, 152, 0.6 km
72, 531, 1755, 7.6 km
72, 532, 2679, 14.0 km
72, 533, 621, 2.3 km
72, 534, 1599, 8.3 km
72, 536, 1215, 4.5 km
72, 537, 1061, 4.1 km
72, 539, 2876, 14.8 km
72, 540, 1057, 4.0 km
72, 545, 1285, 5.1 km
72, 546, 993, 3.8 km
72, 2000, 2108, 10.4 km
72, 2001, 2307, 11.1 km
72, 2002, 2963, 15.3 km
72, 2003, 1266, 5.0 km
72, 2004, 1251, 6.0 km
72, 2005, 3596, 16.3 km
72, 2006, 590, 2.0 km
72, 2008, 1425, 7.6 km
72, 2009, 1721, 8.3 km
72, 2010, 1423, 6.6 km
72, 2012, 1255, 4.6 km
72, 2017, 988, 3.3 km
72, 2021, 446, 1.6 km
72, 2022, 1095, 3.9 km
72, 2023, 795, 2.4 km
72, 3002, 1328, 7.1 km
72, 3016, 3035, 15.7 km
72, 3041, 3271, 15.3 km
72, 3042, 3488, 16.6 km
72, 3043, 3356, 16.0 km
72, 3044, 3338, 15.7 km
72, 3046, 3233, 15.5 km
72, 3047, 3126, 15.0 km
72, 3048, 3047, 14.7 km
72, 3049, 2717, 12.9 km
72, 3050, 3159, 15.1 km
72, 3052, 3254, 15.4 km
72, 3053, 2873, 13.8 km
72, 3054, 2990, 14.5 km
72, 3055, 2865, 13.7 km
72, 3056, 2782, 13.5 km
72, 3057, 2875, 14.0 km
72, 3058, 3028, 14.7 km
72, 3059, 2936, 14.3 km
72, 3060, 2783, 13.6 km
72, 3061, 2887, 14.1 km
72, 3062, 2785, 13.6 km
72, 3063, 2787, 13.3 km
72, 3064, 3038, 14.6 km
72, 3065, 3177, 15.9 km
72, 3066, 3219, 16.1 km
72, 3067, 3223, 16.4 km
72, 3068, 3255, 16.7 km
72, 3069, 3143, 16.0 km
72, 3070, 3203, 16.4 km
72, 3071, 3110, 15.9 km
