2014_01_06_02,54.0,10.4,Overcast
2014_01_06_03,53.1,6.9,Overcast
2014_01_06_04,53.1,5.8,Overcast
2014_01_06_05,52.0,8.1,Fog
2014_01_06_06,53.1,10.4,Fog
2014_01_06_07,54.0,10.4,Light Rain
2014_01_06_08,55.0,6.9,Light Rain
2014_01_06_09,48.0,-9999.0,Light Rain
2014_01_06_10,46.9,5.8,Mostly Cloudy
2014_01_06_11,46.9,6.9,Light Rain
2014_01_06_12,43.0,12.7,Light Rain
2014_01_06_13,39.9,9.2,Overcast
2014_01_06_14,39.9,5.8,Overcast
2014_01_06_15,41.0,8.1,Overcast
2014_01_06_16,39.0,5.8,Overcast
2014_01_06_17,37.0,9.2,Overcast
2014_01_06_18,36.0,6.9,Overcast
2014_01_06_19,34.0,11.5,Overcast
2014_01_06_20,32.0,-9999.0,Mostly Cloudy
2014_01_06_21,30.0,-9999.0,Clear
2014_01_06_22,25.0,15.0,Clear
2014_01_06_23,19.9,-9999.0,Clear
2014_01_07_00,14.0,15.0,Clear
2014_01_07_01,12.0,17.3,Clear
2014_01_07_02,10.9,15.0,Clear
2014_01_07_03,9.0,13.8,Clear
2014_01_07_04,8.1,21.9,Clear
2014_01_07_05,6.1,11.5,Clear
2014_01_07_06,5.0,11.5,Clear
2014_01_07_07,3.9,13.8,Clear
2014_01_07_08,3.9,20.7,Clear
2014_01_07_09,5.0,15.0,Clear
2014_01_07_10,6.1,15.0,Clear
2014_01_07_11,7.0,18.4,Clear
2014_01_07_12,8.1,9.2,Clear
2014_01_07_13,9.0,16.1,Clear
2014_01_07_14,10.0,13.8,Clear
2014_01_07_15,9.0,17.3,Clear
2014_01_07_16,9.0,11.5,Clear
2014_01_07_17,9.0,15.0,Clear
2014_01_07_18,9.0,16.1,Clear
2014_01_07_19,9.0,4.6,Clear
2014_01_07_20,9.0,5.8,Clear
2014_01_07_21,9.0,4.6,Clear
2014_01_07_22,9.0,6.9,Clear
2014_01_07_23,9.0,4.6,Clear
2014_01_08_00,9.0,-9999.0,Clear
2014_01_08_01,9.0,8.1,Clear
2014_01_08_02,9.0,10.4,Clear
2014_01_08_03,9.0,4.6,Clear
2014_01_08_04,9.0,12.7,Clear
2014_01_08_05,9.0,12.7,Clear
2014_01_08_06,9.0,12.7,Clear
2014_01_08_07,9.0,6.9,Clear
2014_01_08_08,10.0,4.6,Clear
2014_01_08_09,12.0,10.4,Clear
2014_01_08_10,14.0,9.2,Clear
2014_01_08_11,16.0,4.6,Scattered Clouds
2014_01_08_12,19.0,5.8,Clear
2014_01_08_13,19.9,5.8,Overcast
2014_01_08_14,21.0,4.6,Scattered Clouds
2014_01_08_15,21.0,5.8,Clear
2014_01_08_16,19.9,5.8,Clear
2014_01_08_17,19.9,6.9,Clear
2014_01_08_18,21.0,-9999.0,Clear
2014_01_08_19,21.0,9.2,Clear
2014_01_08_20,21.0,4.6,Clear
