2015_01_01_00,28.0,10.4,Clear
2015_01_01_01,28.0,9.2,Clear
2015_01_01_02,27.0,6.9,Clear
2015_01_01_03,27.0,3.5,Clear
2015_01_01_04,27.0,3.5,Clear
2015_01_01_05,27.0,-9999.0,Clear
2015_01_01_06,27.0,3.5,Clear
2015_01_01_07,27.0,6.9,Clear
2015_01_01_08,28.0,Calm,Clear
2015_01_01_09,30.0,5.8,Clear
2015_01_01_10,30.9,3.5,Clear
2015_01_01_11,33.1,11.5,Clear
2015_01_01_12,35.1,10.4,Clear
2015_01_01_13,37.0,6.9,Clear
2015_01_01_14,37.9,9.2,Clear
2015_01_01_15,39.0,8.1,Clear
2015_01_01_16,39.0,11.5,Clear
2015_01_01_17,39.0,6.9,Clear
2015_01_01_18,39.0,Calm,Clear
2015_01_01_19,37.9,6.9,Clear
2015_01_01_20,37.9,9.2,Clear
2015_01_01_21,37.9,8.1,Clear
2015_01_01_22,37.9,10.4,Clear
2015_01_01_23,37.0,10.4,Clear
2015_01_02_00,37.9,8.1,Scattered Clouds
2015_01_02_01,37.0,8.1,Clear
2015_01_02_02,37.0,6.9,Clear
2015_01_02_03,37.0,-9999.0,Clear
2015_01_02_04,36.0,3.5,Clear
2015_01_02_05,36.0,8.1,Clear
2015_01_02_06,36.0,4.6,Partly Cloudy
2015_01_02_07,36.0,6.9,Overcast
2015_01_02_08,37.9,5.8,Clear
2015_01_02_09,39.0,8.1,Overcast
2015_01_02_10,41.0,-9999.0,Scattered Clouds
2015_01_02_11,39.9,11.5,Scattered Clouds
2015_01_02_12,41.0,10.4,Scattered Clouds
2015_01_02_13,42.1,9.2,Clear
2015_01_02_14,42.1,-9999.0,Clear
2015_01_02_15,42.1,8.1,Clear
2015_01_02_16,41.0,9.2,Clear
2015_01_02_17,39.9,6.9,Clear
2015_01_02_18,39.9,10.4,Clear
2015_01_02_19,37.9,5.8,Clear
2015_01_02_20,37.9,4.6,Clear
2015_01_02_21,37.0,4.6,Clear
2015_01_02_22,36.0,3.5,Clear
2015_01_02_23,35.1,4.6,Clear
2015_01_03_00,35.1,6.9,Clear
2015_01_03_01,34.0,Calm,Clear
2015_01_03_02,35.1,5.8,Clear
2015_01_03_03,35.1,6.9,Clear
2015_01_03_04,34.0,5.8,Clear
2015_01_03_05,34.0,5.8,Clear
