year,start_station_id,end_station_id,count
2014,318,477,3769
2014,281,499,3326
2014,116,521,3244
2014,519,492,3239
2014,435,509,3119
2015,435,509,4317
2015,514,426,4315
2015,432,293,3622
2015,519,492,3343
2015,318,477,3259
